time,pop,traffic,CPU,MEM
2013-11-04 00:00:00,6000.0,1077.8,267.2,865.6
2013-11-04 00:10:00,6000.0,1082.7,272.3,847.8
2013-11-04 00:20:00,6000.0,1079.6,264.3,863.5
2013-11-04 00:30:00,6000.0,1081.2,269.8,861.7
2013-11-04 00:40:00,6000.0,1079.8,273.6,869.1
2013-11-04 00:50:00,6000.0,1080.3,274.7,864.1
2013-11-04 01:00:00,6000.0,1080.1,268.5,869.1
2013-11-04 01:10:00,6000.0,1080.1,268.5,864.1
2013-11-04 01:20:00,6000.0,1079.1,264.4,861.8
2013-11-04 01:30:00,7000.0,1262.2,315.3,1018.0
2013-11-04 01:40:00,7000.0,1257.8,315.9,1006.8
2013-11-04 01:50:00,7000.0,1261.3,324.2,1001.2
2013-11-04 02:00:00,7000.0,1261.1,305.5,1009.3
2013-11-04 02:10:00,7000.0,1257.7,314.2,1013.9
2013-11-04 02:20:00,7000.0,1258.5,312.9,995.5
2013-11-04 02:30:00,7000.0,1260.5,320.4,1014.8
2013-11-04 02:40:00,7000.0,1259.1,317.8,1003.3
2013-11-04 02:50:00,7000.0,1262.5,321.8,985.2
2013-11-04 03:00:00,7000.0,1258.5,316.3,1017.5
2013-11-04 03:10:00,10000.0,1798.9,451.4,1441.0
2013-11-04 03:20:00,10000.0,1801.5,445.1,1426.7
2013-11-04 03:30:00,10000.0,1797.5,448.6,1450.3
2013-11-04 03:40:00,10000.0,1800.9,444.7,1442.9
2013-11-04 03:50:00,10000.0,1801.6,445.8,1455.2
2013-11-04 04:00:00,10000.0,1797.1,454.1,1441.6
2013-11-04 04:10:00,10000.0,1799.3,446.1,1428.0
2013-11-04 04:20:00,10000.0,1802.4,445.0,1433.8
2013-11-04 04:30:00,10000.0,1798.6,447.9,1465.4
2013-11-04 04:40:00,10000.0,1799.1,461.6,1450.6
2013-11-04 04:50:00,7000.0,1261.3,308.1,1006.8
2013-11-04 05:00:00,7000.0,1258.5,306.3,998.6
2013-11-04 05:10:00,7000.0,1260.6,320.7,1009.1
2013-11-04 05:20:00,7000.0,1260.7,312.2,1004.4
2013-11-04 05:30:00,7000.0,1260.3,315.9,1022.0
2013-11-04 05:40:00,7000.0,1262.9,311.1,1018.3
2013-11-04 05:50:00,7000.0,1258.5,312.4,1028.7
2013-11-04 06:00:00,7000.0,1262.0,319.7,998.0
2013-11-04 06:10:00,7000.0,1260.1,319.4,1011.3
2013-11-04 06:20:00,7000.0,1262.2,319.4,1011.8
2013-11-04 06:30:00,6000.0,1079.7,265.4,852.1
2013-11-04 06:40:00,6000.0,1081.5,265.9,862.0
2013-11-04 06:50:00,6000.0,1079.8,270.2,870.7
2013-11-04 07:00:00,6000.0,1079.5,270.2,855.6
2013-11-04 07:10:00,6000.0,1080.2,269.6,852.5
2013-11-04 07:20:00,6000.0,1078.5,269.9,851.5
2013-11-04 07:30:00,6000.0,1079.2,269.1,877.7
2013-11-04 07:40:00,6000.0,1081.2,268.0,873.5
2013-11-04 07:50:00,6000.0,1079.2,262.4,853.5
2013-11-04 08:00:00,6000.0,1079.4,274.0,867.3
2013-11-04 08:10:00,6000.0,1081.4,270.0,869.7
