time,pop,traffic,CPU,MEM
2013-11-04 00:00:00,6000.0,179.6,41.7,148.0
2013-11-04 00:10:00,6000.0,180.0,45.6,151.2
2013-11-04 00:20:00,6000.0,179.6,45.3,149.3
2013-11-04 00:30:00,6000.0,179.8,45.2,143.4
2013-11-04 00:40:00,6000.0,180.1,42.9,141.2
2013-11-04 00:50:00,6000.0,179.7,45.3,143.9
2013-11-04 01:00:00,6000.0,180.6,47.4,140.6
2013-11-04 01:10:00,6000.0,180.6,44.6,142.3
2013-11-04 01:20:00,6000.0,179.8,44.9,143.8
2013-11-04 01:30:00,7000.0,210.2,53.8,170.1
2013-11-04 01:40:00,7000.0,840.6,214.8,697.7
2013-11-04 01:50:00,7000.0,838.3,209.0,669.7
2013-11-04 02:00:00,7000.0,839.0,214.2,679.0
2013-11-04 02:10:00,7000.0,840.8,209.6,668.0
2013-11-04 02:20:00,7000.0,839.8,212.4,685.6
2013-11-04 02:30:00,7000.0,840.1,210.6,662.3
2013-11-04 02:40:00,7000.0,839.7,210.2,672.4
2013-11-04 02:50:00,7000.0,840.5,208.1,682.0
2013-11-04 03:00:00,7000.0,838.9,209.6,673.4
2013-11-04 03:10:00,10000.0,1198.0,305.4,959.0
2013-11-04 03:20:00,10000.0,1799.4,454.0,1420.6
2013-11-04 03:30:00,10000.0,1800.2,455.1,1451.1
2013-11-04 03:40:00,10000.0,1802.5,451.4,1439.9
2013-11-04 03:50:00,10000.0,1799.1,448.4,1453.7
2013-11-04 04:00:00,10000.0,1802.7,448.0,1397.5
2013-11-04 04:10:00,10000.0,1801.3,449.9,1453.0
2013-11-04 04:20:00,10000.0,1801.4,453.4,1443.0
2013-11-04 04:30:00,10000.0,1800.6,463.0,1444.5
2013-11-04 04:40:00,10000.0,1798.5,442.5,1456.3
2013-11-04 04:50:00,7000.0,1260.4,316.9,1008.7
2013-11-04 05:00:00,7000.0,840.3,206.5,670.2
2013-11-04 05:10:00,7000.0,840.7,208.4,678.1
2013-11-04 05:20:00,7000.0,839.1,211.6,671.3
2013-11-04 05:30:00,7000.0,839.6,213.8,655.2
2013-11-04 05:40:00,7000.0,839.8,209.0,666.6
2013-11-04 05:50:00,7000.0,838.0,209.0,669.9
2013-11-04 06:00:00,7000.0,839.3,212.7,666.6
2013-11-04 06:10:00,7000.0,838.9,205.9,674.3
2013-11-04 06:20:00,7000.0,840.3,211.6,684.3
2013-11-04 06:30:00,6000.0,720.9,178.6,577.4
2013-11-04 06:40:00,6000.0,180.1,46.2,140.9
2013-11-04 06:50:00,6000.0,179.9,44.2,142.7
2013-11-04 07:00:00,6000.0,180.7,45.2,150.3
2013-11-04 07:10:00,6000.0,179.4,44.2,148.8
2013-11-04 07:20:00,6000.0,179.9,45.3,146.0
2013-11-04 07:30:00,6000.0,180.4,40.5,145.0
2013-11-04 07:40:00,6000.0,180.4,45.0,141.3
2013-11-04 07:50:00,6000.0,180.2,44.4,149.9
2013-11-04 08:00:00,6000.0,179.5,44.5,146.9
2013-11-04 08:10:00,6000.0,179.3,44.4,145.0
